,longitude,latitude,distance_km,analysed_spim,kept
0,4.845,43.32,0.0,11.429999744519591,True
1,4.83,43.32,1.2167209386825562,9.269999792799354,True
2,4.815,43.32,2.4334418773651123,6.4499998558312654,True
3,4.8,43.32,3.6501628160476685,5.209999883547425,True
4,4.785,43.32,4.866883754730225,4.369999902322888,True
5,4.77,43.32,6.083604693412781,4.029999909922481,True
6,4.755,43.32,7.300325632095337,4.669999895617366,True
7,4.74,43.32,8.517046570777893,4.369999902322888,True
8,4.725,43.32,9.73376750946045,3.7899999152868986,True
9,4.71,43.32,10.950488448143005,4.029999909922481,True
10,4.695,43.32,12.167209386825562,4.679999895393848,True
11,4.68,43.32,13.383930325508118,4.709999894723296,True
12,4.665,43.32,14.600651264190674,4.959999889135361,True
13,4.65,43.32,15.81737220287323,4.699999894946814,True
14,4.635,43.32,17.034093141555786,4.829999892041087,True
15,4.62,43.32,18.250814080238342,4.239999905228615,True
16,4.605,43.32,19.4675350189209,4.059999909251928,True
17,4.59,43.32,20.684255957603455,3.5499999206513166,True
18,4.575,43.32,21.90097689628601,3.94999991171062,True
19,4.56,43.32,23.117697834968567,4.169999906793237,True
20,4.545,43.32,24.334418773651123,4.129999907687306,True
21,4.53,43.32,25.55113971233368,4.0799999088048935,True
22,4.515,43.32,26.767860651016235,4.149999907240272,True
23,4.5,43.32,27.98458158969879,4.089999908581376,True
24,4.485,43.32,29.201302528381348,4.049999909475446,True
25,4.47,43.32,30.418023467063904,3.829999914392829,True
26,4.455,43.32,31.63474440574646,3.4999999217689037,True
27,4.44,43.32,32.851465344429016,3.0499999318271875,True
28,4.425,43.32,34.06818628311157,2.7699999380856752,True
29,4.41,43.32,35.28490722179413,2.559999942779541,True
30,4.395,43.32,36.501628160476685,2.369999947026372,True
31,4.38,43.32,37.71834909915924,2.43999994546175,True
32,4.365,43.32,38.9350700378418,2.559999942779541,True
33,4.35,43.32,40.15179097652435,2.7699999380856752,True
34,4.335,43.32,41.36851191520691,2.8899999354034662,True
35,4.32,43.32,42.585232853889465,3.209999928250909,True
36,4.305,43.32,43.80195379257202,3.1899999286979437,True
37,4.29,43.32,45.01867473125458,3.3899999242275953,True
38,4.275,43.32,46.235395669937134,3.36999992467463,True
39,4.26,43.32,47.45211660861969,3.2399999275803566,True
40,4.245,43.32,48.668837547302246,2.819999936968088,True
41,4.23,43.32,49.8855584859848,2.269999949261546,False
42,4.215,43.32,51.10227942466736,1.7799999602138996,False
43,4.2,43.32,52.319000363349915,1.5699999649077654,False
44,4.185,43.32,53.53572130203247,1.2099999729543924,False
45,4.17,43.32,54.75244224071503,1.099999975413084,False
46,4.155,43.32,55.96916317939758,0.9499999787658453,False
47,4.14,43.32,57.18588411808014,0.9199999794363976,False
48,4.125,43.32,58.402605056762695,0.8599999807775021,False
49,4.11,43.32,59.61932599544525,0.7699999827891588,False
50,4.845,43.32,0.0,11.429999744519591,True
51,4.83,43.31,1.6468443367701215,9.559999786317348,True
52,4.815,43.31,2.67457020798436,6.789999848231673,True
53,4.8,43.31,3.8151507192482326,4.709999894723296,True
54,4.785,43.31,4.991817695887965,4.409999901428819,True
55,4.77,43.3,6.475877683635405,4.719999894499779,True
56,4.755,43.3,7.630301438496465,3.8599999137222767,True
57,4.74,43.3,8.801524185985773,3.6999999172985554,True
58,4.725,43.3,9.98363539177593,3.6999999172985554,True
59,4.71,43.29,11.445452157744697,3.689999917522073,True
60,4.695,43.29,12.614521873823257,3.799999915063381,True
61,4.68,43.29,13.791837035013327,3.7199999168515205,True
62,4.665,43.29,14.975453087663894,3.519999921321869,True
